거래년도,거래분기,동,건물용도,건물면적당_평균거래가(만원/㎡)
2014,1Q,마포동,연립다세대,446.6989703210175
2014,1Q,마포동,오피스텔,261.8863895568168
2014,1Q,만리동1가,아파트,682.6741996233523
2014,1Q,만리동1가,오피스텔,480.6836389531778
2014,1Q,만리동2가,아파트,509.38264889855856
2014,1Q,만리동2가,연립다세대,451.6132567519806
2014,1Q,만리동2가,오피스텔,466.37580863547464
2014,1Q,망우동,단독다가구,295.93355377022647
2014,1Q,망우동,아파트,471.3071290220505
2014,1Q,망우동,연립다세대,404.572956286296
2014,1Q,망우동,오피스텔,371.40182950875624
2014,1Q,망원동,단독다가구,492.0571195595933
2014,1Q,망원동,아파트,506.5917954466602
2014,1Q,망원동,연립다세대,433.9712450173002
2014,1Q,면목동,단독다가구,310.1472983612712
2014,1Q,면목동,아파트,406.1461951985651
2014,1Q,면목동,연립다세대,421.8300352718057
2014,1Q,명륜1가,단독다가구,272.48165143927696
2014,1Q,명륜1가,아파트,501.0789195599008
2014,1Q,명륜1가,연립다세대,416.4759801626187
2014,1Q,명륜2가,아파트,656.4573356304838
2014,1Q,명륜2가,연립다세대,474.40028643036163
2014,1Q,명륜3가,단독다가구,435.4343829513913
2014,1Q,명륜3가,연립다세대,261.2253627080637
2014,1Q,명륜4가,단독다가구,391.3731343283582
2014,1Q,명일동,단독다가구,308.71263522119426
2014,1Q,명일동,아파트,540.5473443731204
2014,1Q,명일동,연립다세대,422.74051711041085
2014,1Q,명일동,오피스텔,535.5566330643711
2014,1Q,목동,단독다가구,407.44597925985937
2014,1Q,목동,아파트,724.0217703707033
2014,1Q,목동,연립다세대,422.51816444519164
2014,1Q,목동,오피스텔,474.94870769054916
2014,1Q,무악동,단독다가구,482.9739486779198
2014,1Q,무악동,아파트,622.3890564983205
2014,1Q,무악동,연립다세대,278.60326894502225
2014,1Q,묵동,단독다가구,316.1853368481734
2014,1Q,묵동,아파트,431.9564594851654
2014,1Q,묵동,연립다세대,346.4556716358447
2014,1Q,묵동,오피스텔,413.88986320589265
2014,1Q,묵정동,아파트,418.97379106681433
2014,1Q,문래동1가,단독다가구,462.10884353741494
2014,1Q,문래동2가,아파트,450.5982807356396
2014,1Q,문래동3가,단독다가구,919.2932187201527
2014,1Q,문래동3가,아파트,601.1499112852642
2014,1Q,문래동3가,오피스텔,418.21490967921176
2014,1Q,문래동4가,아파트,469.4544287844332
2014,1Q,문래동5가,아파트,397.56655019765634
2014,1Q,문래동5가,오피스텔,340.7582426838021
2014,1Q,문래동6가,아파트,434.37133448897504
2014,1Q,문래동6가,오피스텔,352.1213775108536
2014,1Q,문배동,아파트,699.3724564324098
2014,1Q,문배동,오피스텔,633.4137264104781
2014,1Q,문정동,단독다가구,333.7276446879062
2014,1Q,문정동,아파트,623.2971475214159
2014,1Q,문정동,연립다세대,499.91164400364744
2014,1Q,문정동,오피스텔,690.6460288078557
2014,1Q,미근동,아파트,245.59967253376996
2014,1Q,미아동,단독다가구,369.4099687173381
2014,1Q,미아동,아파트,445.3981016392527
2014,1Q,미아동,연립다세대,349.9348227293506
2014,1Q,반포동,단독다가구,413.46564233888176
2014,1Q,반포동,아파트,1290.5793066778128
2014,1Q,반포동,연립다세대,602.0706137934279
2014,1Q,방배동,단독다가구,540.8138229423031
2014,1Q,방배동,아파트,773.6383656181035
2014,1Q,방배동,연립다세대,631.5221022480976
2014,1Q,방배동,오피스텔,579.2367624399187
2014,1Q,방이동,단독다가구,495.12469500591106
2014,1Q,방이동,아파트,740.6864795672842
2014,1Q,방이동,연립다세대,456.5410928522841
2014,1Q,방이동,오피스텔,539.4821603860016
2014,1Q,방학동,단독다가구,202.19233601060202
2014,1Q,방학동,아파트,368.0980427693656
2014,1Q,방학동,연립다세대,281.41888807603334
2014,1Q,방학동,오피스텔,381.9562756639206
2014,1Q,방화동,단독다가구,419.4106111266239
2014,1Q,방화동,아파트,405.49316642718844
2014,1Q,방화동,연립다세대,351.46693040291143
2014,1Q,방화동,오피스텔,342.54700294559194
2014,1Q,번동,단독다가구,329.31683654992526
2014,1Q,번동,아파트,380.8566196460855
2014,1Q,번동,연립다세대,263.0800387552486
2014,1Q,번동,오피스텔,363.97191730945696
2014,1Q,보광동,단독다가구,574.3229857242246
2014,1Q,보광동,아파트,658.6418296528677
2014,1Q,보광동,연립다세대,822.0726506942627
2014,1Q,보문동1가,단독다가구,655.1724137931034
2014,1Q,보문동2가,단독다가구,613.3987509208421
2014,1Q,보문동2가,연립다세대,601.8058243738261
2014,1Q,보문동3가,단독다가구,344.95588138032974
2014,1Q,보문동3가,아파트,544.7150651565136
2014,1Q,보문동4가,단독다가구,790.7979870596694
2014,1Q,보문동4가,아파트,518.1031330001219
2014,1Q,보문동6가,단독다가구,660.1123595505618
2014,1Q,보문동6가,아파트,360.9926054170097
2014,1Q,보문동6가,연립다세대,344.8653393839086
2014,1Q,보문동7가,단독다가구,660.7228148384015
2014,1Q,보문동7가,연립다세대,403.43567221750277
2014,1Q,본동,아파트,618.570756337531
2014,1Q,본동,연립다세대,443.0234924351338
2014,1Q,봉천동,단독다가구,403.76016012281434
2014,1Q,봉천동,아파트,490.53173586120056
2014,1Q,봉천동,연립다세대,398.82613553944554
2014,1Q,봉천동,오피스텔,589.5229943931613
2014,1Q,부암동,단독다가구,908.8154059860493
2014,1Q,부암동,아파트,435.7987508240722
2014,1Q,부암동,연립다세대,407.4122185514629
2014,1Q,부암동,오피스텔,386.9523504956828
2014,1Q,북가좌동,단독다가구,411.1441708076848
2014,1Q,북가좌동,아파트,473.43037048158527
2014,1Q,북가좌동,연립다세대,325.3980796262749
2014,1Q,북가좌동,오피스텔,352.64367816091954
2014,1Q,북아현동,단독다가구,365.40636931822525
2014,1Q,북아현동,아파트,456.97192117548286
2014,1Q,북아현동,연립다세대,434.4117270036687
2014,1Q,불광동,단독다가구,287.546011107029
