,거래년도,시,구,동,평균공시지가,공시지가분산
276,2014,서울,용산구,이촌동,7153866.0,3757222.0
277,2014,서울,용산구,이태원동,3690821.0,2205193.0
278,2014,서울,용산구,주성동,3699609.0,1430838.0
279,2014,서울,용산구,청암동,2501802.0,1483839.0
280,2014,서울,용산구,청파동1가,2685196.0,1022356.0
281,2014,서울,용산구,청파동2가,3180432.0,1781561.0
282,2014,서울,용산구,청파동3가,3200250.0,1774407.0
283,2014,서울,용산구,한강로1가,7466196.0,3185695.0
284,2014,서울,용산구,한강로2가,11091696.0,6719098.0
285,2014,서울,용산구,한강로3가,7656806.0,4104795.0
286,2014,서울,용산구,한남동,3976652.0,1821672.0
287,2014,서울,용산구,효창동,2850217.0,1132802.0
288,2014,서울,용산구,후암동,2570294.0,1202266.0
289,2014,서울,은평구,갈현동,2129674.0,1207459.0
290,2014,서울,은평구,구산동,1750170.0,833344.0
291,2014,서울,은평구,녹번동,2052255.0,1053183.0
292,2014,서울,은평구,대조동,2549510.0,1723989.0
293,2014,서울,은평구,불광동,2069800.0,1607005.0
294,2014,서울,은평구,수색동,2159045.0,1142886.0
295,2014,서울,은평구,신사동,1789178.0,814743.0
296,2014,서울,은평구,역촌동,2071474.0,880151.0
297,2014,서울,은평구,응암동,2051507.0,1071677.0
298,2014,서울,은평구,증산동,2290037.0,984270.0
299,2014,서울,은평구,진관동,714010.0,1009430.0
300,2014,서울,종로구,가회동,3493889.0,1533702.0
301,2014,서울,종로구,견지동,6162063.0,3272085.0
302,2014,서울,종로구,경운동,5236427.0,2596617.0
303,2014,서울,종로구,계동,3034349.0,1425023.0
304,2014,서울,종로구,공평동,10490622.0,8629841.0
305,2014,서울,종로구,관수동,11380192.0,4450715.0
306,2014,서울,종로구,관철동,20255341.0,7584857.0
307,2014,서울,종로구,관훈동,9642916.0,4885206.0
308,2014,서울,종로구,교남동,6354449.0,3417234.0
309,2014,서울,종로구,교북동,5154082.0,2628034.0
310,2014,서울,종로구,구기동,1255588.0,836258.0
311,2014,서울,종로구,궁정동,2317615.0,1361807.0
312,2014,서울,종로구,권농동,2134673.0,917924.0
313,2014,서울,종로구,낙원동,7651055.0,4114015.0
314,2014,서울,종로구,내수동,4900776.0,2837705.0
315,2014,서울,종로구,내자동,5933520.0,3079537.0
316,2014,서울,종로구,누상동,2265335.0,812147.0
317,2014,서울,종로구,누하동,3180012.0,1336280.0
318,2014,서울,종로구,당주동,14251000.0,10280011.0
319,2014,서울,종로구,도렴동,10713638.0,8407915.0
320,2014,서울,종로구,돈의동,4974926.0,2941750.0
321,2014,서울,종로구,동숭동,2996876.0,3128404.0
322,2014,서울,종로구,명륜1가,2355756.0,1197252.0
323,2014,서울,종로구,명륜2가,5108685.0,4134659.0
324,2014,서울,종로구,명륜3가,1765730.0,881375.0
325,2014,서울,종로구,명륜4가,5094253.0,4143297.0
326,2014,서울,종로구,묘동,8876606.0,5352439.0
327,2014,서울,종로구,무악동,2352971.0,1739399.0
328,2014,서울,종로구,봉익동,5489852.0,2681080.0
329,2014,서울,종로구,부암동,925309.0,810210.0
330,2014,서울,종로구,사간동,5187166.0,3437771.0
331,2014,서울,종로구,사직동,2332644.0,1261360.0
332,2014,서울,종로구,삼청동,3565816.0,1966096.0
333,2014,서울,종로구,서린동,19854210.0,9904588.0
334,2014,서울,종로구,세종로,15752900.0,11702225.0
335,2014,서울,종로구,소격동,3931302.0,1898813.0
336,2014,서울,종로구,송월동,3155357.0,1506613.0
337,2014,서울,종로구,송현동,4197091.0,1647121.0
338,2014,서울,종로구,수송동,6934000.0,3834711.0
339,2014,서울,종로구,숭인동,3112816.0,2179773.0
340,2014,서울,종로구,신교동,2043336.0,1158917.0
341,2014,서울,종로구,신문로1가,15894891.0,11328168.0
342,2014,서울,종로구,신문로2가,5113498.0,3598188.0
343,2014,서울,종로구,신영동,1403135.0,779684.0
344,2014,서울,종로구,안국동,4467907.0,2439805.0
345,2014,서울,종로구,연건동,3045491.0,1819311.0
346,2014,서울,종로구,연지동,3529864.0,2330706.0
347,2014,서울,종로구,예지동,13685674.0,4561284.0
348,2014,서울,종로구,옥인동,2656642.0,1112966.0
349,2014,서울,종로구,와룡동,3360349.0,2555465.0
350,2014,서울,종로구,운니동,4153808.0,2386213.0
351,2014,서울,종로구,원남동,2903269.0,1482575.0
352,2014,서울,종로구,원서동,2801703.0,971025.0
353,2014,서울,종로구,이화동,2095259.0,1364223.0
354,2014,서울,종로구,익선동,3941781.0,1495004.0
355,2014,서울,종로구,인사동,12290151.0,6013840.0
356,2014,서울,종로구,인의동,5626429.0,4243924.0
357,2014,서울,종로구,장사동,13242458.0,5401640.0
358,2014,서울,종로구,재동,5200061.0,2497143.0
359,2014,서울,종로구,적선동,7813349.0,5673592.0
360,2014,서울,종로구,종로1가,25091472.0,11635667.0
361,2014,서울,종로구,종로2가,26160117.0,12218904.0
362,2014,서울,종로구,종로3가,21105816.0,9935041.0
363,2014,서울,종로구,종로4가,15423808.0,6868441.0
364,2014,서울,종로구,종로5가,11104821.0,5132570.0
365,2014,서울,종로구,종로6가,5206339.0,3954102.0
366,2014,서울,종로구,중학동,6169750.0,2884527.0
367,2014,서울,종로구,창성동,2861327.0,1341942.0
368,2014,서울,종로구,창신동,3244168.0,2878131.0
369,2014,서울,종로구,청운동,1989813.0,1168908.0
370,2014,서울,종로구,청진동,21435787.0,12792141.0
371,2014,서울,종로구,체부동,3672258.0,1779730.0
372,2014,서울,종로구,충신동,2861329.0,1500002.0
373,2014,서울,종로구,통의동,3564338.0,1716519.0
374,2014,서울,종로구,통인동,4097026.0,1792267.0
375,2014,서울,종로구,팔판동,3935238.0,1773743.0
376,2014,서울,종로구,평동,4273858.0,2521566.0
377,2014,서울,종로구,평창동,1574561.0,870695.0
378,2014,서울,종로구,필운동,3643655.0,1998515.0
379,2014,서울,종로구,행촌동,1796997.0,1124807.0
380,2014,서울,종로구,혜화동,3199061.0,2958309.0
381,2014,서울,종로구,홍지동,1367080.0,818284.0
382,2014,서울,종로구,홍파동,3285276.0,1399637.0
383,2014,서울,종로구,화동,3635900.0,1667408.0
384,2014,서울,종로구,효자동,2667969.0,1122162.0
385,2014,서울,종로구,효제동,5136955.0,2591680.0
386,2014,서울,종로구,훈정동,1529476.0,377241.0
387,2014,서울,중구,광희동1가,5285414.0,3399773.0
388,2014,서울,중구,광희동2가,3309549.0,1902294.0
389,2014,서울,중구,남대문로1가,17337507.0,9260304.0
390,2014,서울,중구,남대문로2가,15647297.0,10085553.0
391,2014,서울,중구,남대문로3가,16124473.0,6434473.0
392,2014,서울,중구,남대문로4가,15249533.0,5998228.0
393,2014,서울,중구,남대문로5가,7067914.0,4848133.0
394,2014,서울,중구,남산동1가,3184607.0,2902869.0
395,2014,서울,중구,남산동2가,2686618.0,2017595.0
396,2014,서울,중구,남산동3가,3430344.0,2250917.0
397,2014,서울,중구,남창동,14630508.0,8671460.0
398,2014,서울,중구,남학동,3329159.0,1689873.0
399,2014,서울,중구,다동,14756995.0,6942944.0
400,2014,서울,중구,만리동1가,2743056.0,1669004.0
401,2014,서울,중구,만리동2가,2631975.0,1444330.0
402,2014,서울,중구,명동1가,28417500.0,19512401.0
403,2014,서울,중구,명동2가,36505838.0,19192374.0
404,2014,서울,중구,무교동,16915971.0,8926697.0
405,2014,서울,중구,무학동,5541028.0,1723370.0
406,2014,서울,중구,묵정동,4106745.0,1940089.0
407,2014,서울,중구,방산동,10688196.0,3317031.0
408,2014,서울,중구,봉래동1가,6026535.0,3278704.0
409,2014,서울,중구,봉래동2가,6033556.0,3488941.0
410,2014,서울,중구,북창동,8817003.0,4494471.0
411,2014,서울,중구,산림동,8598147.0,4094157.0
412,2014,서울,중구,삼각동,17921989.0,11782764.0
413,2014,서울,중구,서소문동,11230486.0,5722564.0
414,2014,서울,중구,소공동,14330597.0,7825596.0
415,2014,서울,중구,수표동,13144105.0,4433703.0
416,2014,서울,중구,수하동,14251651.0,9489603.0
417,2014,서울,중구,순화동,4132074.0,1945179.0
418,2014,서울,중구,신당동,2740322.0,1905628.0
419,2014,서울,중구,쌍림동,3717225.0,1985318.0
420,2014,서울,중구,예관동,7690740.0,3123035.0
421,2014,서울,중구,예장동,2201178.0,1109889.0
422,2014,서울,중구,오장동,5604398.0,2615995.0
423,2014,서울,중구,을지로1가,17630239.0,10380796.0
424,2014,서울,중구,을지로2가,16014214.0,8354097.0
425,2014,서울,중구,을지로3가,11422641.0,4990523.0
426,2014,서울,중구,을지로4가,9135866.0,4822543.0
427,2014,서울,중구,을지로5가,7225480.0,3240009.0
428,2014,서울,중구,을지로6가,10670139.0,4375276.0
429,2014,서울,중구,을지로7가,4800252.0,2464506.0
430,2014,서울,중구,의주로1가,5033262.0,2757569.0
431,2014,서울,중구,의주로2가,2784842.0,1535178.0
432,2014,서울,중구,인현동1가,7614553.0,3251504.0
433,2014,서울,중구,인현동2가,7515500.0,3107911.0
434,2014,서울,중구,입정동,9207204.0,4847680.0
435,2014,서울,중구,장교동,16357190.0,8592615.0
436,2014,서울,중구,장충동1가,3347855.0,1436847.0
437,2014,서울,중구,장충동2가,2627282.0,1510591.0
438,2014,서울,중구,저동1가,12337949.0,8525455.0
439,2014,서울,중구,저동2가,9075854.0,3511727.0
440,2014,서울,중구,정동,5235503.0,3906158.0
441,2014,서울,중구,주교동,8719292.0,5439197.0
442,2014,서울,중구,주자동,3185619.0,1866706.0
443,2014,서울,중구,중림동,3446865.0,2100934.0
444,2014,서울,중구,초동,9156446.0,4165381.0
445,2014,서울,중구,충무로1가,32088784.0,19649746.0
446,2014,서울,중구,충무로2가,21230591.0,17668724.0
447,2014,서울,중구,충무로3가,9742047.0,2413095.0
448,2014,서울,중구,충무로4가,7978898.0,3313110.0
449,2014,서울,중구,충무로5가,6764615.0,2489472.0
450,2014,서울,중구,충정로1가,6370774.0,3267485.0
451,2014,서울,중구,태평로1가,14013198.0,9475622.0
452,2014,서울,중구,태평로2가,15651697.0,7785790.0
453,2014,서울,중구,필동1가,6253555.0,3613230.0
454,2014,서울,중구,필동2가,4507170.0,2454014.0
455,2014,서울,중구,필동3가,3361081.0,1802303.0
456,2014,서울,중구,황학동,3841598.0,1862698.0
457,2014,서울,중구,회현동1가,7387351.0,7633355.0
458,2014,서울,중구,회현동2가,3555600.0,3019243.0
459,2014,서울,중구,회현동3가,4067814.0,3943646.0
460,2014,서울,중구,흥인동,5491370.0,2200036.0
461,2014,서울,중랑구,망우동,1711698.0,981336.0
462,2014,서울,중랑구,면목동,1853352.0,830935.0
463,2014,서울,중랑구,묵동,1922777.0,928138.0
464,2014,서울,중랑구,상봉동,2216902.0,1316239.0
465,2014,서울,중랑구,신내동,1150370.0,895060.0
466,2014,서울,중랑구,중화동,1948067.0,897274.0
467,2015,서울,강남구,개포동,3287219.0,2357949.0
468,2015,서울,강남구,논현동,6408323.0,3884568.0
469,2015,서울,강남구,대치동,7489684.0,6224481.0
470,2015,서울,강남구,도곡동,5966333.0,4636973.0
471,2015,서울,강남구,삼성동,7597301.0,5945839.0
472,2015,서울,강남구,세곡동,1178952.0,1197949.0
473,2015,서울,강남구,수서동,1493513.0,1969049.0
474,2015,서울,강남구,신사동,9107342.0,5475589.0
475,2015,서울,강남구,압구정동,9301653.0,6602046.0
476,2015,서울,강남구,역삼동,8226871.0,7318977.0
477,2015,서울,강남구,율현동,1299529.0,1081480.0
478,2015,서울,강남구,일원동,3170322.0,2134419.0
479,2015,서울,강남구,자곡동,1163734.0,1278853.0
480,2015,서울,강남구,청담동,8205547.0,5083351.0
481,2015,서울,강동구,강일동,575059.0,907189.0
482,2015,서울,강동구,고덕동,1883313.0,1772805.0
483,2015,서울,강동구,길동,3267874.0,1890020.0
484,2015,서울,강동구,둔촌동,2006220.0,1532986.0
485,2015,서울,강동구,명일동,3572806.0,1920404.0
