구,거래년도,거래분기,APT매매
동작구,2024,1Q,90.50141458333333
동작구,2024,2Q,90.45725209333334
동작구,2024,3Q,91.81668144
마포구,2014,3Q,53.185762
마포구,2014,4Q,53.512995666666676
마포구,2015,1Q,53.783527666666664
마포구,2015,2Q,54.51642866666666
마포구,2015,3Q,55.29342733333334
마포구,2015,4Q,56.063429000000006
마포구,2016,1Q,56.604019333333326
마포구,2016,2Q,57.13778766666667
마포구,2016,3Q,58.10117966666667
마포구,2016,4Q,59.301092000000004
마포구,2017,1Q,59.771975999999995
마포구,2017,2Q,60.197936999999996
마포구,2017,3Q,61.789411
마포구,2017,4Q,63.082962
마포구,2018,1Q,65.14827333333334
마포구,2018,2Q,66.79121366666666
마포구,2018,3Q,69.42054166666667
마포구,2018,4Q,72.84141566666666
마포구,2019,1Q,72.901201
마포구,2019,2Q,72.72478233333334
마포구,2019,3Q,73.74777766666666
마포구,2019,4Q,75.10484533333333
마포구,2020,1Q,77.11631133333333
마포구,2020,2Q,78.11790633333334
마포구,2020,3Q,81.220802
마포구,2020,4Q,84.27731166666666
마포구,2021,1Q,89.11982566666666
마포구,2021,2Q,93.01874
마포구,2021,3Q,96.67770166666666
마포구,2021,4Q,99.359981
마포구,2022,1Q,100.06710586333334
마포구,2022,2Q,100.43903510816666
마포구,2022,3Q,100.62531840633334
마포구,2022,4Q,98.97758249146666
마포구,2023,1Q,94.9137683979
마포구,2023,2Q,92.25333203856667
마포구,2023,3Q,92.52617776666666
마포구,2023,4Q,93.16862902333332
마포구,2024,1Q,93.09037752
마포구,2024,2Q,93.47767504666666
마포구,2024,3Q,95.442987165
분당구,2014,3Q,51.8955445
분당구,2014,4Q,52.55428733333334
분당구,2015,1Q,52.96449333333334
분당구,2015,2Q,53.61924466666667
분당구,2015,3Q,54.189223
분당구,2015,4Q,54.661491000000005
분당구,2016,1Q,54.70650166666667
분당구,2016,2Q,54.83197333333334
분당구,2016,3Q,55.366286333333335
분당구,2016,4Q,56.203936
분당구,2017,1Q,56.48195966666666
분당구,2017,2Q,56.85285033333333
분당구,2017,3Q,58.37948
분당구,2017,4Q,59.64362066666666
분당구,2018,1Q,62.25833433333333
분당구,2018,2Q,65.043512
분당구,2018,3Q,67.37961266666666
분당구,2018,4Q,72.43354433333333
분당구,2019,1Q,72.37459866666667
분당구,2019,2Q,71.90231899999999
분당구,2019,3Q,72.01221433333333
분당구,2019,4Q,73.38619166666666
분당구,2020,1Q,75.52658600000001
분당구,2020,2Q,76.42249466666667
분당구,2020,3Q,79.58094766666666
분당구,2020,4Q,82.89790733333332
분당구,2021,1Q,88.71013566666666
분당구,2021,2Q,93.40017166666667
분당구,2021,3Q,96.911224
분당구,2021,4Q,99.22352833333333
분당구,2022,1Q,100.11946131666666
분당구,2022,2Q,100.96110092876665
분당구,2022,3Q,101.1528304804
분당구,2022,4Q,99.75854422980001
분당구,2023,1Q,95.8564124144
분당구,2023,2Q,92.39180618436667
분당구,2023,3Q,92.65585825333334
분당구,2023,4Q,93.36916582666667
분당구,2024,1Q,93.33167805666666
분당구,2024,2Q,93.26039719
분당구,2024,3Q,94.57599844
서대문구,2014,3Q,59.917699999999996
서대문구,2014,4Q,60.17667733333334
서대문구,2015,1Q,60.535181666666666
서대문구,2015,2Q,61.38010966666667
서대문구,2015,3Q,62.05915100000001
서대문구,2015,4Q,62.821357
서대문구,2016,1Q,63.18329633333334
서대문구,2016,2Q,63.69665466666667
서대문구,2016,3Q,64.54159
서대문구,2016,4Q,65.75391433333334
서대문구,2017,1Q,66.18997666666667
서대문구,2017,2Q,66.43699
서대문구,2017,3Q,67.34334566666666
서대문구,2017,4Q,68.43510099999999
서대문구,2018,1Q,69.57754299999999
서대문구,2018,2Q,71.40935633333333
서대문구,2018,3Q,73.86222400000001
서대문구,2018,4Q,77.39468933333333
서대문구,2019,1Q,77.63075066666666
서대문구,2019,2Q,77.75409866666666
서대문구,2019,3Q,78.35162366666667
서대문구,2019,4Q,79.62711566666667
서대문구,2020,1Q,81.17504366666667
서대문구,2020,2Q,82.06683199999999
서대문구,2020,3Q,84.74605100000001
서대문구,2020,4Q,87.53116899999999
서대문구,2021,1Q,90.50391133333333
서대문구,2021,2Q,93.36284866666666
서대문구,2021,3Q,97.04791166666666
서대문구,2021,4Q,99.41480666666666
서대문구,2022,1Q,100.00582245666665
서대문구,2022,2Q,100.02103653680001
서대문구,2022,3Q,99.69515606346665
서대문구,2022,4Q,98.34610296753333
서대문구,2023,1Q,92.02054148556665
서대문구,2023,2Q,89.07393033893334
서대문구,2023,3Q,88.30718539666667
서대문구,2023,4Q,88.80875888000001
서대문구,2024,1Q,88.96334534333334
서대문구,2024,2Q,88.96249544333334
서대문구,2024,3Q,90.29260371999999
서초구,2014,3Q,58.3761625
서초구,2014,4Q,59.01073333333333
서초구,2015,1Q,59.26533700000001
서초구,2015,2Q,60.340369
서초구,2015,3Q,61.388905666666666
서초구,2015,4Q,62.55618166666667
서초구,2016,1Q,63.07040733333333
서초구,2016,2Q,63.554847333333335
서초구,2016,3Q,64.99651200000001
서초구,2016,4Q,66.358715
서초구,2017,1Q,66.28843966666666
서초구,2017,2Q,66.90007733333333
서초구,2017,3Q,68.48468166666667
서초구,2017,4Q,69.39374333333335
서초구,2018,1Q,71.38799233333333
서초구,2018,2Q,72.80173066666667
서초구,2018,3Q,74.37081033333334
서초구,2018,4Q,77.71786233333334
서초구,2019,1Q,77.54123500000001
서초구,2019,2Q,77.03237266666666
서초구,2019,3Q,78.12865566666666
서초구,2019,4Q,79.38625566666667
서초구,2020,1Q,80.58212333333334
서초구,2020,2Q,80.52526233333333
서초구,2020,3Q,82.74520133333334
서초구,2020,4Q,84.96038233333333
서초구,2021,1Q,87.96358266666668
서초구,2021,2Q,89.93068833333332
서초구,2021,3Q,94.21403400000001
서초구,2021,4Q,98.259742
서초구,2022,1Q,100.14535433666667
서초구,2022,2Q,101.27703609496666
서초구,2022,3Q,102.02668638873332
서초구,2022,4Q,101.1351778389
서초구,2023,1Q,98.47666793566667
서초구,2023,2Q,95.80719673086666
서초구,2023,3Q,95.63315313999999
서초구,2023,4Q,96.2098208
서초구,2024,1Q,96.10331499
서초구,2024,2Q,96.35581729333335
서초구,2024,3Q,98.431528665
성동구,2014,3Q,57.3701565
성동구,2014,4Q,57.521866666666675
성동구,2015,1Q,57.87830833333334
성동구,2015,2Q,58.61378199999999
성동구,2015,3Q,59.403792333333335
성동구,2015,4Q,60.56586733333334
성동구,2016,1Q,61.083389333333336
성동구,2016,2Q,61.31048533333333
성동구,2016,3Q,62.089634
성동구,2016,4Q,62.96173833333333
성동구,2017,1Q,63.19290833333333
성동구,2017,2Q,63.72047833333334
성동구,2017,3Q,65.41981833333334
성동구,2017,4Q,66.97526033333334
성동구,2018,1Q,70.66437533333333
성동구,2018,2Q,72.90998566666667
성동구,2018,3Q,74.37486666666668
성동구,2018,4Q,77.59163166666667
성동구,2019,1Q,77.789753
성동구,2019,2Q,77.71967266666667
