거래년도,거래분기,동,총직장인구수
2019,1Q,당산동2가,1194
2019,1Q,당산동2가,2219
2019,1Q,당산동2가,507
2019,1Q,당산동3가,1875
2019,1Q,당산동3가,685
2019,1Q,당산동3가,10104
2019,1Q,당산동3가,1091
2019,1Q,당산동3가,1194
2019,1Q,당산동3가,2219
2019,1Q,당산동3가,507
2019,1Q,당산동4가,211
2019,1Q,당산동4가,3239
2019,1Q,당산동4가,15614
2019,1Q,당산동4가,9856
2019,1Q,당산동4가,661
2019,1Q,당산동5가,211
2019,1Q,당산동5가,3239
2019,1Q,당산동5가,15614
2019,1Q,당산동5가,9856
2019,1Q,당산동5가,661
2019,1Q,당산동6가,211
2019,1Q,당산동6가,3239
2019,1Q,당산동6가,15614
2019,1Q,당산동6가,9856
2019,1Q,당산동6가,661
2019,1Q,당인동,461
2019,1Q,당인동,566
2019,1Q,당인동,397
2019,1Q,당인동,291
2019,1Q,당인동,118
2019,1Q,당인동,863
2019,1Q,당인동,1744
2019,1Q,당주동,2631
2019,1Q,당주동,82918
2019,1Q,당주동,521
2019,1Q,당주동,190
2019,1Q,당주동,2281
2019,1Q,당주동,87
2019,1Q,대림동,136
2019,1Q,대림동,65
2019,1Q,대림동,77
2019,1Q,대림동,764
2019,1Q,대림동,364
2019,1Q,대림동,39
2019,1Q,대림동,24
2019,1Q,대림동,41
2019,1Q,대림동,4735
2019,1Q,대림동,1650
2019,1Q,대림동,724
2019,1Q,대림동,77
2019,1Q,대림동,43
2019,1Q,대림동,167
2019,1Q,대림동,58
2019,1Q,대림동,389
2019,1Q,대림동,1148
2019,1Q,대림동,41
2019,1Q,대림동,211
2019,1Q,대림동,160
2019,1Q,대방동,506
2019,1Q,대방동,69
2019,1Q,대방동,499
2019,1Q,대방동,2817
2019,1Q,대방동,1653
2019,1Q,대신동,1341
2019,1Q,대신동,91
2019,1Q,대신동,613
2019,1Q,대신동,1150
2019,1Q,대신동,115
2019,1Q,대신동,8397
2019,1Q,대신동,230
2019,1Q,대신동,219
2019,1Q,대신동,203
2019,1Q,대신동,990
2019,1Q,대조동,453
2019,1Q,대조동,398
2019,1Q,대조동,82
2019,1Q,대조동,477
2019,1Q,대조동,284
2019,1Q,대조동,337
2019,1Q,대조동,419
2019,1Q,대치동,460
2019,1Q,대치동,533
2019,1Q,대치동,59677
2019,1Q,대치동,2055
2019,1Q,대치동,1196
2019,1Q,대치동,1881
2019,1Q,대치동,4390
2019,1Q,대치동,2349
2019,1Q,대치동,5938
2019,1Q,대치동,53680
2019,1Q,대치동,7590
2019,1Q,대현동,1341
2019,1Q,대현동,28
2019,1Q,대현동,91
2019,1Q,대현동,481
2019,1Q,대현동,27
2019,1Q,대현동,613
2019,1Q,대현동,151
2019,1Q,대현동,1150
2019,1Q,대현동,115
2019,1Q,대현동,8397
2019,1Q,대현동,230
2019,1Q,대현동,219
2019,1Q,대현동,203
2019,1Q,대현동,990
2019,1Q,대흥동,376
2019,1Q,대흥동,844
2019,1Q,대흥동,991
2019,1Q,대흥동,91
2019,1Q,대흥동,333
2019,1Q,대흥동,381
2019,1Q,대흥동,1617
2019,1Q,대흥동,484
2019,1Q,대흥동,16440
2019,1Q,대흥동,1236
2019,1Q,대흥동,174
2019,1Q,대흥동,221
2019,1Q,대흥동,40
2019,1Q,도곡동,348
2019,1Q,도곡동,11753
2019,1Q,도곡동,404
2019,1Q,도곡동,17730
2019,1Q,도곡동,150
2019,1Q,도곡동,466
2019,1Q,도렴동,2631
2019,1Q,도렴동,82918
2019,1Q,도렴동,521
2019,1Q,도렴동,190
2019,1Q,도렴동,2281
2019,1Q,도렴동,87
2019,1Q,도림동,301
2019,1Q,도림동,44
2019,1Q,도림동,622
2019,1Q,도림동,78
2019,1Q,도림동,309
2019,1Q,도봉동,757
2019,1Q,도봉동,751
2019,1Q,도봉동,48
2019,1Q,도봉동,130
2019,1Q,도봉동,585
2019,1Q,도봉동,315
2019,1Q,도봉동,656
2019,1Q,도선동,188
2019,1Q,도선동,982
2019,1Q,도선동,2126
2019,1Q,도원동,380
2019,1Q,도원동,527
2019,1Q,도원동,844
2019,1Q,도화동,16440
2019,1Q,도화동,21422
2019,1Q,도화동,484
2019,1Q,도화동,1236
2019,1Q,도화동,798
2019,1Q,도화동,2880
2019,1Q,도화동,221
2019,1Q,도화동,1829
2019,1Q,도화동,81
2019,1Q,도화동,3558
2019,1Q,도화동,478
2019,1Q,도화동,700
2019,1Q,도화동,68
2019,1Q,도화동,96
2019,1Q,독산동,11765
2019,1Q,독산동,3259
2019,1Q,독산동,128
2019,1Q,독산동,773
2019,1Q,독산동,1124
2019,1Q,독산동,1185
2019,1Q,독산동,825
2019,1Q,독산동,539
2019,1Q,독산동,427
2019,1Q,독산동,612
2019,1Q,독산동,283
2019,1Q,독산동,299
2019,1Q,독산동,360
2019,1Q,독산동,433
2019,1Q,독산동,300
2019,1Q,독산동,929
2019,1Q,독산동,87
2019,1Q,독산동,124
2019,1Q,돈암동,1179
2019,1Q,돈암동,777
2019,1Q,돈암동,2631
2019,1Q,돈암동,32
2019,1Q,돈암동,237
2019,1Q,돈암동,380
2019,1Q,돈암동,82
2019,1Q,돈암동,304
2019,1Q,돈암동,181
2019,1Q,돈암동,539
2019,1Q,돈암동,103
2019,1Q,돈암동,518
2019,1Q,돈암동,443
2019,1Q,돈암동,386
2019,1Q,돈의동,678
2019,1Q,돈의동,22547
2019,1Q,돈의동,37433
2019,1Q,돈의동,15017
2019,1Q,돈의동,12814
2019,1Q,돈의동,4284
2019,1Q,돈의동,4056
2019,1Q,돈의동,421
2019,1Q,돈의동,558
2019,1Q,돈의동,37773
2019,1Q,돈의동,1106
2019,1Q,동교동,942
2019,1Q,동교동,8224
2019,1Q,동교동,3068
2019,1Q,동교동,9832
2019,1Q,동교동,15575
2019,1Q,동교동,38
2019,1Q,동교동,200
2019,1Q,동교동,685
2019,1Q,동교동,928
2019,1Q,동교동,2097
2019,1Q,동교동,582
2019,1Q,동교동,1285
2019,1Q,동빙고동,205
2019,1Q,동빙고동,484
2019,1Q,동빙고동,539
2019,1Q,동선동1가,181
2019,1Q,동선동1가,2631
2019,1Q,동선동1가,443
2019,1Q,동선동1가,386
2019,1Q,동선동2가,181
2019,1Q,동선동2가,2631
2019,1Q,동선동2가,443
2019,1Q,동선동2가,386
2019,1Q,동선동3가,181
2019,1Q,동선동3가,2631
2019,1Q,동선동3가,443
2019,1Q,동선동3가,386
2019,1Q,동선동4가,181
2019,1Q,동선동4가,2631
2019,1Q,동선동4가,443
2019,1Q,동선동4가,386
2019,1Q,동선동5가,181
2019,1Q,동선동5가,2631
2019,1Q,동선동5가,443
2019,1Q,동선동5가,386
2019,1Q,동소문동1가,129
2019,1Q,동소문동1가,182
2019,1Q,동소문동1가,176
2019,1Q,동소문동1가,158
2019,1Q,동소문동1가,741
2019,1Q,동소문동1가,623
2019,1Q,동소문동1가,545
2019,1Q,동소문동2가,1179
2019,1Q,동소문동2가,777
2019,1Q,동소문동2가,237
2019,1Q,동소문동2가,380
2019,1Q,동소문동2가,539
2019,1Q,동소문동3가,1179
2019,1Q,동소문동3가,777
2019,1Q,동소문동3가,237
2019,1Q,동소문동3가,380
2019,1Q,동소문동3가,539
2019,1Q,동소문동4가,129
2019,1Q,동소문동4가,182
2019,1Q,동소문동4가,176
2019,1Q,동소문동4가,158
2019,1Q,동소문동4가,741
2019,1Q,동소문동4가,623
2019,1Q,동소문동4가,545
2019,1Q,동소문동5가,1179
2019,1Q,동소문동5가,777
2019,1Q,동소문동5가,237
2019,1Q,동소문동5가,380
2019,1Q,동소문동5가,539
2019,1Q,동소문동6가,181
2019,1Q,동소문동6가,2631
2019,1Q,동소문동6가,443
2019,1Q,동소문동6가,386
2019,1Q,동소문동7가,181
2019,1Q,동소문동7가,2631
2019,1Q,동소문동7가,443
2019,1Q,동소문동7가,386
2019,1Q,동숭동,305
2019,1Q,동숭동,986
2019,1Q,동숭동,131
2019,1Q,동자동,12138
2019,1Q,동자동,10512
2019,1Q,동자동,2104
2019,1Q,동자동,3688
2019,1Q,동작동,437
2019,1Q,동작동,172
2019,1Q,동작동,5416
2019,1Q,둔촌동,2027
2019,1Q,둔촌동,500
2019,1Q,둔촌동,93
2019,1Q,둔촌동,231
2019,1Q,둔촌동,60
2019,1Q,등촌동,5626
2019,1Q,등촌동,8589
2019,1Q,등촌동,217
2019,1Q,등촌동,499
2019,1Q,등촌동,490
2019,1Q,등촌동,5270
2019,1Q,등촌동,113
2019,1Q,등촌동,209
2019,1Q,등촌동,384
2019,1Q,등촌동,763
2019,1Q,등촌동,8316
2019,1Q,등촌동,922
2019,1Q,등촌동,1175
2019,1Q,마곡동,5626
2019,1Q,마곡동,8316
2019,1Q,마곡동,285
2019,1Q,마곡동,467
2019,1Q,마곡동,320
2019,1Q,마곡동,683
2019,1Q,마곡동,921
2019,1Q,마곡동,358
2019,1Q,마곡동,386
2019,1Q,마곡동,563
2019,1Q,마곡동,1062
2019,1Q,마곡동,298
2019,1Q,마곡동,1034
2019,1Q,마곡동,469
2019,1Q,마곡동,167
2019,1Q,마곡동,788
2019,1Q,마곡동,587
2019,1Q,마곡동,1174
2019,1Q,마곡동,373
2019,1Q,마곡동,1823
2019,1Q,마곡동,922
2019,1Q,마곡동,763
2019,1Q,마곡동,1175
2019,1Q,마장동,5289
2019,1Q,마장동,202
